model,model_label,frame_index,forecast_date,q,tp,fp,tn,fn,accuracy,recall_tpr,specificity_tnr,precision_ppv,fpr,fnr,f1,balanced_accuracy,mcc
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,88,2023-05-17,0.05,72,2775,53972,108,0.9493561930191298,0.4,0.9510987364970835,0.02528977871443625,0.04890126350291645,0.6,0.04757185332011893,0.6755493682485418,0.09043257506890708
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,88,2023-05-17,0.1,99,5594,51153,81,0.9003109245173644,0.55,0.9014221016088956,0.017389776919023364,0.09857789839110438,0.45,0.03371360463136387,0.7257110508044478,0.08447745087497141
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,89,2023-05-31,0.01,40,530,56216,141,0.9882129745112161,0.22099447513812154,0.9906601346350403,0.07017543859649122,0.009339865364959645,0.7790055248618785,0.10652463382157124,0.605827304886581,0.11968046966765669
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,89,2023-05-31,0.05,79,2768,53978,102,0.9495845556590019,0.43646408839779005,0.9512212314524372,0.027748507200561996,0.04877876854756282,0.56353591160221,0.052179656538969624,0.6938426599251136,0.10013230084364923
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,89,2023-05-31,0.1,103,5590,51156,78,0.900433889015757,0.569060773480663,0.9014908539808973,0.01809239416827683,0.09850914601910267,0.430939226519337,0.035069799114742936,0.7352758137307802,0.08830076583401318
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,90,2023-06-14,0.01,32,538,56223,134,0.9881954081543028,0.1927710843373494,0.99052166099963,0.056140350877192984,0.009478339000369972,0.8072289156626506,0.08695652173913043,0.5916463726684897,0.09926884708905771
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,90,2023-06-14,0.05,70,2777,53984,96,0.9495318565882621,0.42168674698795183,0.9510755624460457,0.024587284861257466,0.0489244375539543,0.5783132530120482,0.04646531695984069,0.6863811547169988,0.09221445031010642
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,90,2023-06-14,0.1,95,5598,51163,71,0.9004163226588437,0.572289156626506,0.9013759447507972,0.016687159669769892,0.0986240552492028,0.42771084337349397,0.032428742106161465,0.7368325506886516,0.08513354681273615
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,91,2023-06-28,0.01,26,544,56191,166,0.9875278865915997,0.13541666666666666,0.9904115625275404,0.0456140350877193,0.00958843747245968,0.8645833333333334,0.06824146981627296,0.5629141145971035,0.07327281346564644
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,91,2023-06-28,0.05,77,2770,53965,115,0.9493210603053033,0.4010416666666667,0.9511765224288358,0.02704601334738321,0.04882347757116418,0.5989583333333334,0.05067456400131622,0.6761090945477513,0.09368624850433523
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,91,2023-06-28,0.1,94,5599,51136,98,0.8999244646652731,0.4895833333333333,0.90131312241121,0.016511505357456525,0.09868687758879,0.5104166666666666,0.03194562446898895,0.6954482278722717,0.07554194330250148
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,92,2023-07-12,0.01,31,539,56157,200,0.9870184622411158,0.1341991341991342,0.9904931564837025,0.054385964912280704,0.009506843516297447,0.8658008658008658,0.07740324594257178,0.5623461453414184,0.07961784931007256
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,92,2023-07-12,0.05,80,2767,53929,151,0.9487413705271663,0.3463203463203463,0.9511958515591928,0.028099754127151388,0.04880414844080711,0.6536796536796536,0.051981806367771284,0.6487580989397695,0.08677222627434814
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,92,2023-07-12,0.1,121,5572,51124,110,0.9001879600189716,0.5238095238095238,0.9017214618315225,0.021254171789917443,0.0982785381684775,0.47619047619047616,0.04085077650236327,0.7127654928205231,0.09017033128797482
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,93,2023-07-26,0.01,20,550,56194,163,0.98747518752086,0.1092896174863388,0.9903073452699845,0.03508771929824561,0.009692654730015508,0.8907103825136612,0.05312084993359893,0.5497984813781617,0.056626569421998035
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,93,2023-07-26,0.05,62,2785,53959,121,0.9489521668101253,0.33879781420765026,0.9509199210489214,0.021777309448542326,0.04908007895107853,0.6612021857923497,0.04092409240924093,0.6448588676282858,0.07523995460925809
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,93,2023-07-26,0.1,95,5598,51146,88,0.9001176945913187,0.5191256830601093,0.9013463978570422,0.016687159669769892,0.09865360214295785,0.4808743169398907,0.03233492171545269,0.7102360404585757,0.07933648563127037
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,94,2023-08-09,0.01,23,547,56213,144,0.9878616473729513,0.1377245508982036,0.9903629316420014,0.04035087719298246,0.009637068357998591,0.8622754491017964,0.06241519674355495,0.5640437412701025,0.06957845129474029
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,94,2023-08-09,0.05,73,2774,53986,94,0.9496196883728284,0.437125748502994,0.9511275546159267,0.02564102564102564,0.048872445384073294,0.562874251497006,0.0484406104844061,0.6941266515594604,0.09633464762832432
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,94,2023-08-09,0.1,97,5596,51164,70,0.9004690217295835,0.5808383233532934,0.9014094432699084,0.017038468294396626,0.09859055673009161,0.41916167664670656,0.033105802047781574,0.741123883311601,0.08693605526147638
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,95,2023-08-23,0.01,26,544,56205,152,0.9877738155883852,0.14606741573033707,0.9904139279987313,0.0456140350877193,0.009586072001268745,0.8539325842696629,0.06951871657754011,0.5682406718645342,0.07653340509138665
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,95,2023-08-23,0.05,72,2775,53974,106,0.9493913257329563,0.4044943820224719,0.9511004599199986,0.02528977871443625,0.04889954008000141,0.5955056179775281,0.047603305785123964,0.6777974209712352,0.09108198468082403
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,95,2023-08-23,0.1,105,5588,51161,73,0.9005568535141497,0.5898876404494382,0.9015313045163792,0.018443702792903565,0.09846869548362086,0.4101123595505618,0.03576903423607562,0.7457094724829088,0.09145159386623897
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,96,2023-09-06,0.01,21,549,56190,167,0.9874224884501204,0.11170212765957446,0.9903241156876222,0.03684210526315789,0.009675884312377729,0.8882978723404256,0.05540897097625329,0.5510131216735984,0.05879227937929649
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,96,2023-09-06,0.05,65,2782,53957,123,0.9489697331670385,0.34574468085106386,0.9509684696593173,0.0228310502283105,0.04903153034068278,0.6542553191489362,0.042833607907742995,0.6483565752551905,0.07809882198345369
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,96,2023-09-06,0.1,95,5598,51141,93,0.9000298628067525,0.5053191489361702,0.9013377042246075,0.016687159669769892,0.09866229577539258,0.4946808510638298,0.032307430709063084,0.7033284265803889,0.07776749948888419
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,97,2023-09-20,0.01,35,535,56201,156,0.9878616473729513,0.18324607329842932,0.9905703609701072,0.06140350877192982,0.009429639029892837,0.8167539267015707,0.09198423127463863,0.5869082171342682,0.10095446132918381
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,97,2023-09-20,0.05,94,2753,53983,97,0.9499358827972667,0.49214659685863876,0.951477016356458,0.03301721109940288,0.04852298364354202,0.5078534031413613,0.06188281764318631,0.7218118066075484,0.11769245451002482
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,97,2023-09-20,0.1,124,5569,51167,67,0.9009960124369807,0.6492146596858639,0.9018436266215454,0.021781134726857544,0.09815637337845459,0.3507853403141361,0.04214819850441876,0.7755291431537046,0.10621695670814484
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,98,2023-10-04,0.01,29,541,56184,173,0.9874576211639469,0.14356435643564355,0.9904627589246364,0.05087719298245614,0.009537241075363596,0.8564356435643564,0.07512953367875648,0.56701355768014,0.08004685000683123
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,98,2023-10-04,0.05,84,2763,53962,118,0.9493913257329563,0.4158415841584158,0.9512913177611283,0.029504741833508957,0.04870868223887175,0.5841584158415841,0.055100032797638566,0.6835664509597721,0.10015535371015845
