model,model_label,q,category,metric,mean,std,n,k,note
our_vol1,Our vol1 STNPP-GAT,0.1,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,accuracy,0.9878969141811054,0.00042027017860699523,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,recall_tpr,0.15437909663924482,0.03380083943630489,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,specificity_tnr,0.9904225515680771,0.00013058983315358672,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,precision_ppv,0.046364001607071104,0.013394685422706724,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,fpr,0.00957744843192299,0.00013058983315358534,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,fnr,0.8456209033607551,0.03380083943630489,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,f1,0.07071468728385193,0.0185687664181072,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,balanced_accuracy,0.5724008241036609,0.01693980109534149,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,binary_classification,mcc,0.07900969680453784,0.01915817117108638,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,accuracy,0.9493588749056815,0.00027151223439622656,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,recall_tpr,0.39715500837460865,0.04699685686197757,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,specificity_tnr,0.9510353993010047,0.0002398539977418529,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,precision_ppv,0.02388479100807868,0.005268884022390923,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,fpr,0.04896460069899527,0.00023985399774185444,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,fnr,0.6028449916253914,0.04699685686197757,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,f1,0.04496083637737019,0.009576922677837125,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,balanced_accuracy,0.6740952038378066,0.023538337513285844,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,binary_classification,mcc,0.08683311348413984,0.013713171567814002,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,accuracy,0.9004093497538095,0.00026205620163389387,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,recall_tpr,0.5693504671406403,0.04345751713638788,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,specificity_tnr,0.9014139596204863,0.0003050542931123517,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,precision_ppv,0.017165851192639147,0.003566528173139491,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,fpr,0.0985860403795136,0.0003050542931123493,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,fnr,0.4306495328593597,0.043457517136387895,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,f1,0.03329068808602999,0.006781821998878713,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,balanced_accuracy,0.7353822133805632,0.02177438232962802,131,,
our_vol1,Our vol1 STNPP-GAT,0.1,binary_classification,mcc,0.08546821383523741,0.011847781052067014,131,,
our_vol1,Our vol1 STNPP-GAT,,ranking_at_k,precision_at_k,0.1316793893129771,0.08278937754005851,131,20.0,
our_vol1,Our vol1 STNPP-GAT,,ranking_at_k,hit_count_at_k,2.969465648854962,1.9765507302357652,131,20.0,
our_vol1,Our vol1 STNPP-GAT,,ranking_at_k,precision_at_k,0.10229007633587785,0.051955082456589856,131,50.0,
our_vol1,Our vol1 STNPP-GAT,,ranking_at_k,hit_count_at_k,5.679389312977099,3.0363621340031206,131,50.0,
our_vol1,Our vol1 STNPP-GAT,,ranking_at_k,precision_at_k,0.08335877862595419,0.036302377269537695,131,100.0,
