model,model_label,frame_index,forecast_date,q,q_eff,selected_cells,hit_count,hit_rate,miss_rate,area_coverage,hotspot_density_per_km2,pai,gain,lift,pei_star,oracle_hit_count,iou_jaccard,dice,centroid_distance_m
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.03,0.030003337607813516,1708,42.0,0.24561403508771928,0.7543859649122807,0.030003337607813516,1.092896174863388,8.18622375611159,0.24561403508771928,8.18622375611159,0.24561403508771928,171.0,0.018485390578413835,0.03629976580796253,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.04,0.04001616104836018,2278,52.0,0.30409356725146197,0.695906432748538,0.04001616104836018,1.014535167300751,7.599268877490771,0.30409356725146197,7.599268877490771,0.30409356725146197,171.0,0.018555779119159403,0.036435469710272166,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.05,0.050011418131993605,2847,59.0,0.34502923976608185,0.6549707602339181,0.050011418131993605,0.9210474963899621,6.89900931934097,0.34502923976608185,6.89900931934097,0.34502923976608185,171.0,0.021528525296017224,0.04214963119072708,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.06,0.06000667521562703,3416,66.0,0.38596491228070173,0.6140350877192983,0.06000667521562703,0.8587041373926619,6.432032951230535,0.38596491228070173,6.432032951230535,0.38596491228070173,171.0,0.028760728805902726,0.05591334894613583,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.07,0.07000193229926045,3985,71.0,0.4152046783625731,0.5847953216374269,0.07000193229926045,0.7918583577303778,5.931331675068055,0.4152046783625731,5.931331675068055,0.4152046783625731,171.0,0.028121775025799794,0.05470514429109159,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.08,0.08001475573980713,4555,77.0,0.4502923976608187,0.5497076023391814,0.08001475573980713,0.7513111355043298,5.627616975112497,0.4502923976608187,5.627616975112497,0.4502923976608187,171.0,0.03675884829862296,0.07091108671789242,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.09,0.09001001282344055,5124,80.0,0.4678362573099415,0.5321637426900585,0.09001001282344055,0.6939023332465954,5.197602384832755,0.4678362573099415,5.197602384832755,0.4678362573099415,171.0,0.04432895139101192,0.08489461358313817,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,35,2021-05-05,0.1,0.10000526990707397,5693,85.0,0.49707602339181284,0.5029239766081872,0.10000526990707397,0.6635829576282765,4.970498293276959,0.49707602339181284,4.970498293276959,0.49707602339181284,171.0,0.05017524441984873,0.09555594589847181,540.0165473034582
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.01,0.010012823440546666,570,27.0,0.17532467532467533,0.8246753246753247,0.010012823440546666,2.105263157894737,17.510013670539987,0.17532467532467533,17.510013670539987,0.17532467532467533,154.0,0.02333931777378815,0.0456140350877193,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.02,0.02000808052418009,1139,38.0,0.24675324675324675,0.7532467532467533,0.02000808052418009,1.4827821675934054,12.332679611871887,0.24675324675324675,12.332679611871887,0.24675324675324675,154.0,0.016964285714285713,0.033362598770851626,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.03,0.030003337607813516,1708,48.0,0.3116883116883117,0.6883116883116883,0.030003337607813516,1.249024199843872,10.388454636698196,0.3116883116883117,10.388454636698196,0.3116883116883117,154.0,0.020005971931919976,0.039227166276346606,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.04,0.04001616104836018,2278,54.0,0.35064935064935066,0.6493506493506493,0.04001616104836018,1.0535557506584723,8.762693408435288,0.35064935064935066,8.762693408435288,0.35064935064935066,154.0,0.019467442380845825,0.038191395961369626,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.05,0.050011418131993605,2847,60.0,0.38961038961038963,0.6103896103896104,0.050011418131993605,0.9366584709050462,7.790428749332859,0.38961038961038963,7.790428749332859,0.38961038961038963,154.0,0.02244568145088885,0.04390586582367404,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.06,0.06000667521562703,3416,66.0,0.42857142857142855,0.5714285714285714,0.06000667521562703,0.8587041373926619,7.142062562730009,0.42857142857142855,7.142062562730009,0.42857142857142855,154.0,0.029380744312189244,0.05708430913348946,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.07,0.07000193229926045,3985,68.0,0.44155844155844154,0.5584415584415585,0.07000193229926045,0.7583995538826154,6.30780361420261,0.44155844155844154,6.30780361420261,0.44155844155844154,154.0,0.027989165484328647,0.054454203262233374,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.08,0.08001475573980713,4555,75.0,0.487012987012987,0.512987012987013,0.08001475573980713,0.7317965605561654,6.086539695211484,0.487012987012987,6.086539695211484,0.487012987012987,154.0,0.03687684953334851,0.07113062568605928,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.09,0.09001001282344055,5124,77.0,0.5,0.5,0.09001001282344055,0.6678809957498482,5.554937548790008,0.5,5.554937548790008,0.5,154.0,0.044009779951100246,0.08430913348946135,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,36,2021-05-19,0.1,0.10000526990707397,5693,83.0,0.538961038961039,0.461038961038961,0.10000526990707397,0.6479692409781993,5.389326377118403,0.538961038961039,5.389326377118403,0.538961038961039,154.0,0.04891754951635191,0.09327243983839803,338.83418581685777
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.01,0.010012823440546666,570,23.0,0.15862068965517243,0.8413793103448276,0.010012823440546666,1.7933723196881093,15.841754385964913,0.15862068965517243,15.841754385964913,0.15862068965517243,145.0,0.01876675603217158,0.03684210526315789,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.02,0.02000808052418009,1139,30.0,0.20689655172413793,0.7931034482758621,0.02000808052418009,1.170617500731636,10.340649692712907,0.20689655172413793,10.340649692712907,0.20689655172413793,145.0,0.012894619831036016,0.025460930640913083,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.03,0.030003337607813516,1708,38.0,0.2620689655172414,0.7379310344827585,0.030003337607813516,0.9888108248763987,8.734660421545668,0.2620689655172414,8.734660421545668,0.2620689655172414,145.0,0.01696933611193808,0.03337236533957846,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.04,0.04001616104836018,2278,52.0,0.3586206896551724,0.6413793103448275,0.04001616104836018,1.014535167300751,8.961896400351186,0.3586206896551724,8.961896400351186,0.3586206896551724,145.0,0.018100558659217877,0.03555750658472344,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.05,0.050011418131993605,2847,55.0,0.3793103448275862,0.6206896551724138,0.050011418131993605,0.8586035983296256,7.584474885844749,0.3793103448275862,7.584474885844749,0.3793103448275862,145.0,0.021345291479820627,0.04179838426413769,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.06,0.06000667521562703,3416,58.0,0.4,0.6,0.06000667521562703,0.7546187874056727,6.66592505854801,0.4,6.66592505854801,0.4,145.0,0.027986758952753536,0.05444964871194379,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.07,0.07000193229926045,3985,64.0,0.4413793103448276,0.5586206896551724,0.07000193229926045,0.7137878154189321,6.305244667503137,0.4413793103448276,6.305244667503137,0.4413793103448276,145.0,0.02745906922779425,0.053450439146800505,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.08,0.08001475573980713,4555,72.0,0.496551724137931,0.503448275862069,0.08001475573980713,0.7025246981339188,6.205751920965971,0.496551724137931,6.205751920965971,0.496551724137931,145.0,0.03699487763232783,0.07135016465422613,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.09,0.09001001282344055,5124,76.0,0.5241379310344828,0.4758620689655172,0.09001001282344055,0.6592072165842657,5.823106947697112,0.5241379310344828,5.823106947697112,0.5241379310344828,145.0,0.04379710735383988,0.08391881342701014,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,37,2021-06-02,0.1,0.10000526990707397,5693,78.0,0.5379310344827586,0.4620689655172414,0.10000526990707397,0.6089349493530066,5.379026875109784,0.5379310344827586,5.379026875109784,0.5379310344827586,145.0,0.04959439528023599,0.0945020200245916,1569.9175669521449
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.01,0.010012823440546666,570,29.0,0.17901234567901234,0.8209876543209876,0.010012823440546666,2.261208576998051,17.878308425384446,0.17901234567901234,17.878308425384446,0.17901234567901234,162.0,0.02333931777378815,0.0456140350877193,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.02,0.02000808052418009,1139,34.0,0.20987654320987653,0.7901234567901234,0.02000808052418009,1.3266998341625207,10.489589091579141,0.20987654320987653,10.489589091579141,0.20987654320987653,162.0,0.014247551202137132,0.028094820017559263,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.03,0.030003337607813516,1708,41.0,0.25308641975308643,0.7469135802469136,0.030003337607813516,1.0668748373666406,8.435275537051494,0.25308641975308643,8.435275537051494,0.25308641975308643,162.0,0.017272185824895772,0.03395784543325527,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.04,0.04001616104836018,2278,49.0,0.30246913580246915,0.6975308641975309,0.04001616104836018,0.9560042922641693,7.55867449246144,0.30246913580246915,7.55867449246144,0.30246913580246915,162.0,0.01719133735208752,0.033801580333625986,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.05,0.050011418131993605,2847,58.0,0.35802469135802467,0.6419753086419753,0.050011418131993605,0.905436521874878,7.15885901121822,0.35802469135802467,7.15885901121822,0.35802469135802467,162.0,0.021711824869908487,0.042500878117316475,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.06,0.06000667521562703,3416,60.0,0.37037037037037035,0.6296296296296297,0.06000667521562703,0.78064012490242,6.172152831988897,0.37037037037037035,6.172152831988897,0.37037037037037035,162.0,0.02845100105374078,0.055327868852459015,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.07,0.07000193229926045,3985,67.0,0.41358024691358025,0.5864197530864197,0.07000193229926045,0.7472466192666946,5.908126152082656,0.41358024691358025,5.908126152082656,0.41358024691358025,162.0,0.027989165484328647,0.054454203262233374,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.08,0.08001475573980713,4555,72.0,0.4444444444444444,0.5555555555555556,0.08001475573980713,0.7025246981339188,5.554531040370776,0.4444444444444444,5.554531040370776,0.4444444444444444,162.0,0.0365229263852543,0.07047200878155872,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.09,0.09001001282344055,5124,84.0,0.5185185185185185,0.4814814814814815,0.09001001282344055,0.7285974499089253,5.76067597652297,0.5185185185185185,5.76067597652297,0.5185185185185185,162.0,0.0442225392296719,0.08469945355191257,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,38,2021-06-16,0.1,0.10000526990707397,5693,91.0,0.5617283950617284,0.43827160493827155,0.10000526990707397,0.7104241075785077,5.616987940572461,0.5617283950617284,5.616987940572461,0.5617283950617284,162.0,0.0502721151185315,0.09573160021078518,1004.6118826121306
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.01,0.010012823440546666,570,27.0,0.13432835820895522,0.8656716417910448,0.010012823440546666,2.105263157894737,13.415632364493321,0.13432835820895522,13.415632364493321,0.13432835820895522,201.0,0.02425876010781671,0.04736842105263158,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.02,0.02000808052418009,1139,38.0,0.1890547263681592,0.8109452736318408,0.02000808052418009,1.4827821675934054,9.448918707603337,0.1890547263681592,9.448918707603337,0.1890547263681592,201.0,0.017418490397498883,0.03424056189640035,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.03,0.030003337607813516,1708,56.0,0.27860696517412936,0.7213930348258706,0.030003337607813516,1.4571948998178506,9.285865753201207,0.27860696517412936,9.285865753201207,0.27860696517412936,201.0,0.021836673646425366,0.04274004683840749,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.04,0.04001616104836018,2278,67.0,0.3333333333333333,0.6666666666666667,0.04001616104836018,1.3071895424836601,8.32996780801873,0.3333333333333333,8.32996780801873,0.3333333333333333,201.0,0.021982951996410947,0.04302019315188762,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.05,0.050011418131993605,2847,76.0,0.3781094527363184,0.6218905472636815,0.050011418131993605,1.1864340631463919,7.5604625275449235,0.3781094527363184,7.5604625275449235,0.3781094527363184,201.0,0.024838012958963283,0.04847207586933614,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.06,0.06000667521562703,3416,81.0,0.40298507462686567,0.5970149253731343,0.06000667521562703,1.053864168618267,6.715670767940159,0.40298507462686567,6.715670767940159,0.40298507462686567,201.0,0.03186829784020541,0.06176814988290398,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.07,0.07000193229926045,3985,92.0,0.4577114427860697,0.5422885572139303,0.07000193229926045,1.026069984664715,6.538554404888981,0.4577114427860697,6.538554404888981,0.4577114427860697,201.0,0.031314699792960664,0.06072772898368883,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.08,0.08001475573980713,4555,98.0,0.48756218905472637,0.5124378109452736,0.08001475573980713,0.9562141724600561,6.093403454735106,0.48756218905472637,6.093403454735106,0.48756218905472637,201.0,0.03924252794889345,0.07552140504939626,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.09,0.09001001282344055,5124,105.0,0.5223880597014925,0.4776119402985075,0.09001001282344055,0.9107468123861566,5.803666095750754,0.5223880597014925,5.803666095750754,0.5223880597014925,201.0,0.04603450035725222,0.08801717408274785,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,39,2021-06-30,0.1,0.10000526990707397,5693,113.0,0.5621890547263682,0.43781094527363185,0.10000526990707397,0.8821749907293557,5.621594294468288,0.5621890547263682,5.621594294468288,0.5621890547263682,201.0,0.05338144139143307,0.10135253820481292,1770.042596863675
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.01,0.010012823440546666,570,25.0,0.1366120218579235,0.8633879781420765,0.010012823440546666,1.9493177387914231,13.643706260185985,0.1366120218579235,13.643706260185985,0.1366120218579235,183.0,0.020590868397493287,0.04035087719298246,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.02,0.02000808052418009,1139,39.0,0.21311475409836064,0.7868852459016393,0.02000808052418009,1.5218027509511267,10.651434246319031,0.21311475409836064,10.651434246319031,0.21311475409836064,183.0,0.016964285714285713,0.033362598770851626,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.03,0.030003337607813516,1708,50.0,0.273224043715847,0.7267759562841529,0.030003337607813516,1.3010668748373666,9.106454998016407,0.273224043715847,9.106454998016407,0.273224043715847,183.0,0.018485390578413835,0.03629976580796253,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.04,0.04001616104836018,2278,60.0,0.32786885245901637,0.6721311475409837,0.04001616104836018,1.170617500731636,8.193410958706947,0.32786885245901637,8.193410958706947,0.32786885245901637,183.0,0.020152261531571878,0.03950834064969271,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.05,0.050011418131993605,2847,65.0,0.3551912568306011,0.644808743169399,0.050011418131993605,1.0147133434804667,7.10220325872695,0.3551912568306011,7.10220325872695,0.3551912568306011,183.0,0.022629310344827586,0.044257112750263436,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.06,0.06000667521562703,3416,74.0,0.40437158469945356,0.5956284153005464,0.06000667521562703,0.9627894873796513,6.73877669853214,0.40437158469945356,6.73877669853214,0.40437158469945356,183.0,0.030623020063357972,0.05942622950819672,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.07,0.07000193229926045,3985,82.0,0.44808743169398907,0.5519125683060109,0.07000193229926045,0.9145406385055068,6.401072327238072,0.44808743169398907,6.401072327238072,0.44808743169398907,183.0,0.030248190279214063,0.05872020075282309,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.08,0.08001475573980713,4555,88.0,0.4808743169398907,0.5191256830601093,0.08001475573980713,0.858641297719234,6.009820469909364,0.4808743169398907,6.009820469909364,0.4808743169398907,183.0,0.037703610889622964,0.07266739846322723,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.09,0.09001001282344055,5124,101.0,0.5519125683060109,0.4480874316939891,0.09001001282344055,0.8760516957238268,6.131679698664379,0.5519125683060109,6.131679698664379,0.5519125683060109,183.0,0.04624808575803982,0.08840749414519906,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,40,2021-07-14,0.1,0.10000526990707397,5693,105.0,0.5737704918032787,0.42622950819672134,0.10000526990707397,0.8197201241290474,5.737402562249296,0.5737704918032787,5.737402562249296,0.5737704918032787,183.0,0.05221328897514093,0.09924468645705252,2214.9019981060123
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.01,0.010012823440546666,570,28.0,0.16766467065868262,0.8323353293413174,0.010012823440546666,2.183235867446394,16.74499422208215,0.16766467065868262,16.74499422208215,0.16766467065868262,167.0,0.025179856115107913,0.04912280701754386,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.02,0.02000808052418009,1139,37.0,0.2215568862275449,0.7784431137724551,0.02000808052418009,1.4437615842356843,11.073370379521904,0.2215568862275449,11.073370379521904,0.2215568862275449,167.0,0.016964285714285713,0.033362598770851626,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.03,0.030003337607813516,1708,45.0,0.2694610778443114,0.7305389221556886,0.030003337607813516,1.17096018735363,8.981036755528756,0.2694610778443114,8.981036755528756,0.2694610778443114,167.0,0.01696933611193808,0.03337236533957846,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.04,0.04001616104836018,2278,56.0,0.33532934131736525,0.6646706586826348,0.04001616104836018,1.0925763340161936,8.379847854773333,0.33532934131736525,8.379847854773333,0.33532934131736525,167.0,0.019467442380845825,0.038191395961369626,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.05,0.050011418131993605,2847,72.0,0.4311377245508982,0.5688622754491017,0.050011418131993605,1.1239901650860553,8.620785825609056,0.4311377245508982,8.620785825609056,0.4311377245508982,167.0,0.023916561769465924,0.04671584123638918,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.06,0.06000667521562703,3416,81.0,0.48502994011976047,0.5149700598802396,0.06000667521562703,1.053864168618267,8.082933079975879,0.48502994011976047,8.082933079975879,0.48502994011976047,167.0,0.030623020063357972,0.05942622950819672,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.07,0.07000193229926045,3985,89.0,0.5329341317365269,0.46706586826347307,0.07000193229926045,0.9926111808169525,7.613134584031435,0.5329341317365269,7.613134584031435,0.5329341317365269,167.0,0.03064787275313591,0.05947302383939774,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.08,0.08001475573980713,4555,93.0,0.5568862275449101,0.44311377245508987,0.08001475573980713,0.9074277350896451,6.95979413291967,0.5568862275449101,6.95979413291967,0.5568862275449101,167.0,0.03876852907639681,0.07464324917672886,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.09,0.09001001282344055,5124,100.0,0.5988023952095808,0.4011976047904192,0.09001001282344055,0.8673779165582444,6.652619818910188,0.5988023952095808,6.652619818910188,0.5988023952095808,167.0,0.04614128215598203,0.08821233411397346,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,41,2021-07-28,0.1,0.10000526990707397,5693,105.0,0.6287425149700598,0.37125748502994016,0.10000526990707397,0.8197201241290474,6.2870938256983315,0.6287425149700598,6.2870938256983315,0.6287425149700598,167.0,0.05231053604436229,0.09942034076936589,827.5498440826774
our_vol1,Our vol1 STNPP-GAT,42,2021-08-11,0.01,0.010012823440546666,570,28.0,0.17391304347826086,0.8260869565217391,0.010012823440546666,2.183235867446394,17.369031273836764,0.17391304347826086,17.369031273836764,0.17391304347826086,161.0,0.02242152466367713,0.043859649122807015,422.3977340197286
